"ID","","","","","","","","","","","","TaxonLevel","","","","","","","","","","","","","","","","","","","","","","<i>Genus Species </i>"
"10800079","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Phascogale lanigera</i>","","","","","","<i>Sminthopsis </i> <i>Antechinomys</i> <i>b</i> <i>Sminthopsis </i>","","","",""
"10800080","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>spenceri</i>","<i>spenceri</i>","","","","<i>Antechinomys laniger </i>"
"10800081","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Ningaui timealeyi</i>","","","","","","<i>Ningaui</i> <i>Ningaui </i> <i>Sminthopsis</i>","","","",""
"10800082","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ningaui ridei </i>"
"10800083","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ningaui timealeyi </i>"
"10800084","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ningaui yvonnae </i>"
"10800085","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Phascogale crassicaudata</i>","","","","","<i>Podabrus</i>","<i>Podabrus</i>","","","",""
"10800086","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. griseoventer </i> <i>S. murina</i> <i>b</i>","","","","<i>Sminthopsis aitkeni </i>"
"10800087","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. murina </i>","","","","<i>Sminthopsis archeri </i>"
"10800088","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. macroura </i> <i>S. macroura</i>","","","","<i>Sminthopsis bindi </i>"
"10800089","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. griseoventer</i> <i>S. g. griseoventer</i> <i>boullangerensis </i>","","","","<i>Sminthopsis boullangerensis </i>"
"10800090","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. macroura</i>","","","","<i>Sminthopsis butleri </i>"
"10800091","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>centralis</i> <i> ferruginea</i>","<i>a</i>","","","","<i>Sminthopsis crassicaudata </i>"
"10800092","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. murina </i>","","","","<i>Sminthopsis dolichura </i>"
"10800093","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. macroura </i>","","","","<i>Sminthopsis douglasi </i>"
"10800094","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. murina </i> <i>S. murina</i> <i>b</i>","","","","<i>Sminthopsis fuliginosus </i>"
"10800095","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. murina </i>","","","","<i>Sminthopsis gilberti </i>"
"10800096","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sminthopsis granulipes </i>"
"10800097","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>caniventer</i>","<i>S. griseoventer </i>","","","","<i>Sminthopsis griseoventer </i>"
"10800098","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. psammophila </i>","","","","<i>Sminthopsis hirtipes </i>"
"10800099","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>ferruginifrons</i> <i>leucogenys</i> <i> mitchelli </i>","<i>S. murina </i>","","","","<i>Sminthopsis leucopus </i>"
"10800100","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sminthopsis longicaudata </i>"
"10800101","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>froggatti</i> <i> larapinta </i> <i> monticola</i> <i> stalkeri </i>","<i>S. macroura </i> <i>froggatti </i> <i>stalkeri</i>","","","","<i>Sminthopsis macroura </i>"
"10800102","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>S. m. tatei</i>","<i>albipes</i> <i> tatei</i>","<i>S. murina </i>","","","","<i>Sminthopsis murina </i>"
"10800103","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. psammophila </i> <i>murina</i>","","","","<i>Sminthopsis ooldea </i>"
"10800104","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. psammophila </i>","","","","<i>Sminthopsis psammophila </i>"
"10800105","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>nitela</i> <i> </i> <i>lumholtzi </i> <i> <b>rufigenis</b> </i> <i> rona </i>","<i>S. macroura </i> <i>S. virginiae</i> <i>S. nitela</i> <i>S. lumholtzi</i> <i>virginiae</i> <i>nitela </i> <i>rufigenis</i>","","","","<i>Sminthopsis virginiae </i>"
"10800106","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sminthopsis virginiae </i>"
"10800107","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sminthopsis virginiae </i>"
"10800108","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sminthopsis virginiae </i>"
"10800109","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S. psammophila </i>","","","","<i>Sminthopsis youngsoni </i>"
"10800110","","","","","","","","","","","","TRIBE","","","","","","","","","","","","","","","","","","","","","",""
"10800111","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Planigale brunneus</i> <i>Phascogale ingrami</i>","","","","","","<i>b</i>","","","",""
"10800112","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale gilesi </i>"
"10800113","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>P</i> <i>i. subtilissima</i>","<i>brunnea</i> <i> subtilissima</i>","<i>P. i. subtilissima </i> <i>Planigale </i>","","","","<i>Planigale ingrami </i>"
"10800114","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","<i>P. i. subtilissima </i> <i>Planigale </i>","","","","<i>Planigale ingrami </i>"
"10800115","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale ingrami </i>"
"10800116","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale ingrami </i>"
"10800117","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>minutissimus<b> </b></i> <i> sinualis</i>","<i>Planigale</i> <i>Antechinus</i> <i>Sminthopsis</i> <i>P. m. sinualis </i> <i>b </i> <i>Planigale </i>","","","","<i>Planigale maculata </i>"
"10800118","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale maculata </i>"
"10800119","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale maculata </i>"
"10800120","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale novaeguineae </i>"
"10800121","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Planigale tenuirostris </i>"
"10900001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","","","","",""
"10900002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>Chaeropus</i>","","","",""
"10900003","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Perameles lagotis</i>","","","","","<i>Paragalia</i> <i> Peragale </i> <i>Phalacomys</i> <i>Thalaconus </i> <i> Thylacomys </i>","<i>Macrotis</i> <i>nomen</i> <i>nudum</i> <i>b</i> <i>Macrotis</i> <i>Thylacomys</i> <i>Macrotis</i>","","","",""
"10900004","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>cambrica</i> <i> grandis</i> <i>interjecta </i> <i>nigripes </i> <i> sagitta </i>","","","","","<i>Macrotis lagotis </i>"
"10900005","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>minor</i> <i>miseliae </i> <i>miselius</i>","","","","","<i>Macrotis leucura </i>"
"10900006","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>Chaeropus </i>","","","",""
"10900007","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Perameles ecaudatus</i>","","","","","<i>Choeropus</i>","<i>Chaeropus</i>","","","",""
"10900008","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>castanotis</i> <i> occidentalis</i>","","","","","<i>Chaeropus ecaudatus </i>"
"10900009","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>b</i> <i>Chaeropus </i> <i>Macrotis</i> <i>Chaeropus </i>","","","",""
"10900010","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10900011","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis obesula</i>","","","","","<i>Thylacis</i> <i>Perameles</i>","<i>Thylacis</i>","","","",""
"10900012","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>I. auratus, I. a. auratus, </i> <i>I. a. barrowensis. </i>","<i>arnhemensis</i> <i> </i> <i> <b>barrowensis</b></i>","<i>arnhemensis</i> <i>barrowensis</i>","","","","<i>Isoodon auratus </i>"
"10900013","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon auratus </i>"
"10900014","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon auratus </i>"
"10900015","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon auratus </i>"
"10900016","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>macrura</i> <i> <b>moresbyensis</b> </i> <i> torosa</i>","","","","","<i>Isoodon macrourus </i>"
"10900017","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon macrourus </i>"
"10900018","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon macrourus </i>"
"10900019","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>I. o. nauticus</i> <i>I. o. fusciventer, I. o. obesulus, </i> <i>I. o. peninsulae</i>","<i>affinis</i> <i>fusciventer </i> <i> peninsulae</i> <i> <b>nauticus</b> </i>","","","","","<i>Isoodon obesulus </i>"
"10900020","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon obesulus </i>"
"10900021","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Isoodon obesulus </i>"
"10900022","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Perameles nasuta</i>","","","","","<i>Thylacis</i>","<i>Perameles</i> <i>Isoodon</i>","","","",""
"10900023","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","<i>P. b. fasciata</i> <i>P. b. bougainville. </i>","<i>arenaria</i> <i> fasciata </i> <i> myosuros </i> <i> notina</i>","","","","","<i>Perameles bougainville </i>"
"10900024","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Perameles eremiana </i>"
"10900025","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>P. g. gunnii</i>","","","","","","<i>Perameles gunnii </i>"
"10900026","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>lawson</i> <i> major </i> <i> musei </i> <i> pallescens</i>","","","","","<i>Perameles nasuta </i>"
"10900027","","","","","","","","","","","","SUBFAMILY","","","","","","","<i>In</i>","","","","","","","","","","","<i>nomen nudum,</i> <i>sensu </i> <i>Echymipera </i> <i>Microperoryctes </i> <i>Peroryctes </i> <i>Echymipera </i> <i>a</i>","","","",""
"10900028","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Perameles raffrayana</i>","","","","","","","","","",""
"10900029","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>raffrayana</i>","","","","<i>Peroryctes broadbenti </i>"
"10900030","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>rothschildi</i> <i>mainois </i>","<i>broadbenti</i>","","","","<i>Peroryctes raffrayana </i>"
"10900031","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Peroryctes raffrayana </i>"
"10900032","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Peroryctes raffrayana </i>"
"10900033","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10900034","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Perameles kalubu</i>","","","","","<i>Peramelopsis</i> <i>, </i> <i>Suillomeles </i>","","","","",""
"10900035","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>a</i>","","","","<i>Echymipera clara </i>"
"10900036","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","","<i>Echymipera</i> <i>a</i>","","","","<i>Echymipera davidi </i>"
"10900037","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera echinista </i>"
"10900038","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>alticeps</i> <i> breviceps </i> <i> doreyanus </i> <i> garagassi </i> <i> hispida </i> <i> rufiventris </i> <i> <b>cockerelli</b></i> <i>myoides </i> <i> oriomo </i> <i> <b>philipi</b></i>","<i>kalubu</i> <i>E. k. cockerelli</i> <i>E. rufescens </i> <i>E. kalubu</i> <i>kalubu</i>","","","","<i>Echymipera kalubu </i>"
"10900039","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera kalubu </i>"
"10900040","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera kalubu </i>"
"10900041","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera kalubu </i>"
"10900042","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera kalubu </i>"
"10900043","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>aruensis</i> <i> gargantua </i> <i>keiensis </i> <i> welsianus</i> <i> <b>australis</b></i>","","","","","<i>Echymipera rufescens </i>"
"10900044","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera rufescens </i>"
"10900045","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Echymipera rufescens </i>"
"10900046","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Microperoryctes murina</i>","","","","","<i>Ornoryctes</i>","<i>Ornoryctes</i> <i>Microperoryctes</i> <i>Peroryctes</i>","","","",""
"10900047","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>dorsalis</i> <i> </i> <i> <b>ornatus</b> </i> <i> magnus </i>","<i>Peroryctes</i>","","","","<i>Microperoryctes longicauda </i>"
"10900048","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Microperoryctes longicauda </i>"
"10900049","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Microperoryctes longicauda </i>"
"10900050","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Microperoryctes longicauda </i>"
"10900051","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Microperoryctes murina </i>"
"10900052","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Peroryctes</i>","","","","<i>Microperoryctes papuensis </i>"
"10900053","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Rhynchomeles prattorum</i>","","","","","","","","","",""
"10900054","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Rhynchomeles prattorum </i>"
"11000001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","","","","",""
"11000002","","","","","","","","","","","","SUBORDER","","","","","","","","","","","","","","","","","","","","","",""
"11000003","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"11000004","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Lipurus cinereus</i>","","","","","<i>Draximenus</i> <i> Koala </i> <i>Lipurus </i> <i>Liscurus</i> <i> Morodactylus </i>","","","","",""
"11000005","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>adustus</i> <i> flindersii </i> <i> fuscus </i> <i> koala </i> <i>subiens </i> <i>victor</i>","","","","","<i>Phascolarctos cinereus </i>"
"11000006","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>Phascolomis</i>","","","",""
"11000007","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Lasiorhinus mcoyi</i> <i>Phascolomys latifrons</i>","","","","","<i>Wombatula</i>","<i>krefftii </i> <i>barnardi </i> <i>gillespiei </i>","","","",""
"11000008","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>gillespiei</i> <i>barnardi</i> <i> </i>","<i>gillespiei</i> <i>barnardi</i> <i>krefftii</i> <i>barnardi</i> <i>barnardi</i> <i>krefftii</i>","","","","<i>Lasiorhinus krefftii </i>"
"11000009","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Lasiorhinus krefftii </i>"
"11000010","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Lasiorhinus krefftii </i>"
"11000011","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Lasiorhinus krefftii </i>"
"11000012","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>lasiorhinus</i> <i> mcoyi</i>","","","","","<i>Lasiorhinus latifrons </i>"
"11000013","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis ursina</i>","","","","","<i>Amblotis</i> <i>Opossum </i> <i> Phascolomis</i> <i> Phascolomus </i> <i>Phascolomys </i> <i>Wombatus </i>","","","","",""
"11000014","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>V. u. ursinus</i> <i>V. usrinus. </i>","<i>angasii</i> <i> assimilis </i> <i>bassii </i> <i> fossor </i> <i> fuscus </i> <i>hirsutum </i> <i> mitchelli </i> <i>niger </i> <i> platyrhinus </i> <i>setosus </i> <i>tasmaniensis </i> <i> vombatus </i> <i> wombat </i>","","","","","<i>Vombatus ursinus </i>"
"11000015","","","","","","","","","","","","SUBORDER","","","","<i>in</i>","","","","","","","","","","","","","","","","","",""
"11000016","","","","","","","","","","","","SUPERFAMILY","","","","","","","","","","","","","","","","","","","","","",""
"11000017","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"11000018","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Burramys parvus</i>","","","","","","","","","",""
"11000019","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Burramys parvus </i>"
"11000020","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Phalangista nana</i>","","","","","<i>Dromicia</i> <i>,</i> <i> Dromiciella </i> <i> Dromiciola </i> <i> Eudromicia </i>","<i>Eudromicia</i>","","","",""
"11000021","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>C. c. macrurus</i> <i>C. c. caudatus. </i>","<i>macrura</i>","<i>macrura</i> <i>Eudromicia</i>","","","","<i>Cercartetus caudatus </i>"
"11000022","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cercartetus caudatus </i>"
"11000023","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cercartetus caudatus </i>"
"11000024","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>neillii</i> <i> minor</i>","","","","","<i>Cercartetus concinnus </i>"
"11000025","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cercartetus concinnus </i>"
"11000026","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cercartetus concinnus </i>"
"11000027","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Eudromicia</i>","","","","<i>Cercartetus lepidus </i>"
"11000028","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>gliriformis</i> <i>unicolor </i> <i> britta </i>","","","","","<i>Cercartetus nanus </i>"
"11000029","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cercartetus nanus </i>"
"11000030","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cercartetus nanus </i>"
"11000031","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"11000032","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","","","","",""
"11000033","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Phalangista ursina</i>","","","","","<i>Ceonix</i> <i> Eucuscus </i>","<i>Phalanger</i> <i> </i>","","","",""
"11000034","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>A. ursinus</i>","","","","<i>Ailurops melanotis </i>"
"11000035","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>flavissimus</i> <i> furvus </i> <i>intermedius</i> <i> togianus</i>","<i>Phalanger</i>","","","","<i>Ailurops ursinus </i>"
"11000036","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ailurops ursinus </i>"
"11000037","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ailurops ursinus </i>"
"11000038","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ailurops ursinus </i>"
"11000039","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Ailurops ursinus </i>"
"11000040","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","","","","",""
"11000041","","","","","","","","","","","","TRIBE","","","","","","","","","","","","","","","","","","","","","",""
"11000042","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis orientalis</i>","","","","","<i>Balantia</i> <i> Coescoes </i> <i> Cuscus </i> <i> Phalangista </i> <i>Sipalus </i>","<i>Spilocuscus</i> <i>a</i>","","","",""
"11000043","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>P. ornatus </i> <i>P. rothschildi</i>","","","","<i>Phalanger alexandrae </i>"
"11000044","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>coccygis</i>","<i>vestitus</i>","","","","<i>Phalanger carmelitae </i>"
"11000045","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger carmelitae </i>"
"11000046","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger carmelitae </i>"
"11000047","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>leucippus</i>","<i>Strigocuscus</i> <i>Phalanger </i>","","","","<i>Phalanger gymnotis </i>"
"11000048","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger gymnotis </i>"
"11000049","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger gymnotis </i>"
"11000050","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>P. orientalis</i>","<i>brevinasus</i> <i> kiriwinae </i> <i> matsika </i> <i>, </i> <i> meeki</i> <i>.</i>","<i>P. orientalis </i> <i>Strigocuscus mimicus</i> <i>a</i> <i>intercastellanus</i> <i>Phalanger</i> <i>P. mimicus</i>","","","","<i>Phalanger intercastellanus </i>"
"11000051","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>orientalis</i>","","","","<i>Phalanger lullulae </i>"
"11000052","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>P. ornatus</i>","","","","<i>Phalanger matabiru </i>"
"11000053","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger matanim </i>"
"11000054","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>P. orientalis</i>","<i>microdon</i> <i> <b>peninsulae</b></i>","<i>P. intercastellanus </i>","","","","<i>Phalanger mimicus </i>"
"11000055","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger mimicus </i>"
"11000056","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger mimicus </i>"
"11000057","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>alba</i> <i> amboinensis </i> <i> cavifrons</i> <i> fusca </i> <i>indica</i> <i> kori </i> <i> minor</i> <i> molucca</i> <i> moluccensis </i> <i> rufa </i> <i> timoriensis </i> <i> vulpecula </i> <i> breviceps </i> <i>albidus</i> <i> ducatoris</i>","<i>intercastellanus</i> <i>interpositus</i> <i>vestitus</i> <i> </i> <i>lullulae</i> <i>a</i> <i>P. orientalis</i> <i>b</i> <i>breviceps </i>","","","","<i>Phalanger orientalis </i>"
"11000058","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger orientalis </i>"
"11000059","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger orientalis </i>"
"11000060","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Strigocuscus</i>","","","","<i>Phalanger ornatus </i>"
"11000061","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Strigocuscus celebensis</i>","","","","<i>Phalanger rothschildi </i>"
"11000062","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>occidentalis</i>","<i>P. vestitus</i>","","","","<i>Phalanger sericeus </i>"
"11000063","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger sericeus </i>"
"11000064","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Phalanger sericeus </i>"
"11000065","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>interpositus</i> <i> permixtio</i>","<i>P. interpositus</i>","","","","<i>Phalanger vestitus </i>"
"11000066","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Phalangista maculata</i>","","","","","","<i>Phalanger</i>","","","",""
"11000067","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>minor</i>","<i>a</i>","","","","<i>Spilocuscus kraemeri </i>"
"11000068","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>variegata</i> <i>chrysorrhous </i> <i> goldiei </i> <i> nudicaudatus</i> <i> brevicaudatus </i> <i> ochropus</i>","<i>a</i> <i>atrimaculatus</i> <i>rufoniger</i> <i>papuensis </i> <i>kraemeri</i> <i>a</i>","","","","<i>Spilocuscus maculatus </i>"
"11000069","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Spilocuscus maculatus </i>"
"11000070","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Spilocuscus maculatus </i>"
"11000071","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Spilocuscus maculatus </i>"
"11000072","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Spilocuscus maculatus </i>"
